APPID,NAME,CURRENT,24H_PEAK,ALL_TIME_PEAK
453710,TableTop Soccer,1,2,39
591680,Taphouse VR,1,8,39
738650,Seers Isle,1,3,39
942270,Kunoichi Tsubaki,1,4,39
987090,GACHIMUCHI Arcade: Lustful Boys,1,6,39
37420,"Ben There, Dan That!",1,1,38
201480,Serious Sam: The Random Encounter,1,3,38
248730,A Walk in the Dark,1,1,38
318650,SunAge: Battle for Elysium,1,2,38
332540,We Slay Monsters,1,2,38
369550,Blacksea Odyssey,1,2,38
466110,Shaolin vs Wutang,1,4,38
508260,Treasure of a Blizzard,1,4,38
534360,Colt Express,1,4,38
556240,Disoriented,1,3,38
651500,My Memory of Us,1,3,38
11330,Obulis,1,4,37
206020,Avernum 4,1,4,37
218660,iBomber Attack,1,2,37
302060,Trucks & Trailers,1,7,37
346590,Music Creator 7,1,5,37
372480,Spaceforce Rogue Universe HD,1,3,37
392280,The Franz Kafka Videogame,1,3,37
439460,Ships 2017,1,4,37
491560,Momonga Pinball Adventures,1,1,37
527090,Disgaea 2 PC Demo,1,2,37
530900,emoj.io,1,2,37
533690,Think To Die,1,2,37
576260,Winds Of Trade,1,3,37
595930,Steam: Rails to Riches,1,3,37
617030,Landless,1,3,37
628120,NOBUNAGA?S AMBITION: Ranseiki with Power Up Kit,1,10,37
640430,Dragon's Dungeon: Awakening,1,3,37
696590,XXZ: XXL,1,2,37
704690,Elisa: Seduce the Innkeeper,1,4,37
802730,Mother Simulator,1,6,37
893390,Meridian 59,1,7,37
933450,Wenjia,1,12,37
33990,AlternativA,1,2,36
259170,Alone in the Dark,1,7,36
284140,Majestic Nights,1,2,36
297740,Overruled!,1,1,36
319130,Pineview Drive Demo,1,2,36
327900,LogicBots Demo,1,1,36
359040,The Music Machine,1,1,36
406220,Gnomes Vs. Fairies,1,1,36
431120,Tethered,1,4,36
447180,My Secret Pets!,1,2,36
447800,LostWinds 2: Winter of the Melodias,1,3,36
570050,Raiden V: Director's Cut,1,5,36
606520,Grisaia Phantom Trigger Vol.2,1,2,36
680440,Wallpaper Transformer,1,1,36
814920,Sol705,1,3,36
37400,"Time Gentlemen, Please!",1,1,35
296850,Al Emmo and the Lost Dutchman's Mine,1,3,35
301690,Cobi Treasure Deluxe,1,3,35
319390,Blinding Dark Demo,1,1,35
321540,MODO indie 901,1,3,35
329240,The Weaponographist,1,1,35
429720,IMSCARED,1,3,35
531530,POLYGOD,1,2,35
555750,Masked Forces,1,3,35
588110,One Dog Story,1,1,35
763250,The Spectrum Retreat,1,2,35
796790,GLAD VALAKAS SIMULATOR,1,2,35
800180,Momoiro Closet,1,3,35
893870,Trials of Ascension: Exile,1,3,35
897780,Anime Fight in the Arena of Death,1,1,35
32140,Midnight Mysteries: The Edgar Allan Poe Conspiracy,1,2,34
315330,All Guns On Deck,1,3,34
350910,Streets of Fury EX,1,4,34
381610,Dandy: Or a Brief Glimpse into the Life of the Candy Alchemist,1,2,34
386340,MegaSphere,1,1,34
412620,CropDuster Supreme,1,1,34
469660,John Wick,1,4,34
514090,Beautiful Japanese Scenery - Animated Jigsaws,1,5,34
532170,WaveLand,1,3,34
615350,Scarlett Mysteries: Cursed Child,1,7,34
627450,RUGBY 18,1,7,34
656120,Fantasya Final Definitiva REMAKE,1,2,34
702110,THE LAST BLADE 2,1,3,34
882560,Door,1,4,34
974950,DAMNOSAUR,1,7,34
6230,FlatOut Demo,1,2,33
8260,Sam & Max 201: Ice Station Santa,1,2,33
263700,Muffin Knight,1,3,33
346160,Barter Empire,1,1,33
358960,Canabalt,1,2,33
363960,Devils & Demons,1,2,33
396660,Tahira: Echoes of the Astral Empire,1,1,33
487630,Lantern,1,1,33
530930,Soulblight,1,4,33
546080,Coffin of Ashes,1,4,33
606000,Die for Valhalla!,1,3,33
632070,The Fidelio Incident,1,4,33
651470,Onirim - Solitaire Card Game,1,5,33
695020,Achievement Hunter: Urban,1,2,33
732000,H.I.S.T.O.R.Y T.O.R.C.H.K.A 2,1,1,33
774411,Temple of Xiala,1,2,33
779050,A tractor,1,5,33
836940,?SCP?????? -The will of a single Tale-?DEMOver.?,1,6,33
853240,The Light Keeps Us Safe,1,2,33
884420,The Last Wizard,1,1,33
931700,Shooting Hurts,1,3,33
952020,Love at Elevation,1,2,33
11150,Sherlock Holmes: The Secret of the Silver Earring,1,5,32
46440,Future Wars,1,1,32
262590,Chucks Challenge 3D,1,2,32
302970,Radiant Defense,1,3,32
321980,Hardland,1,4,32
349320,The Rainy Port Keelung,1,2,32
352370,Defect,1,3,32
355240,NEO AQUARIUM - The King of Crustaceans -,1,1,32
379250,Lif Demo,1,3,32
391580,Egyptian Senet,1,1,32
396640,TowerClimb,1,5,32
402260,Dead Secret,1,3,32
403290,Burly Men at Sea,1,5,32
418190,Helen's Mysterious Castle,1,5,32
435300,We Know the Devil,1,3,32
455440,Spell Fighter VR,1,4,32
477310,Space Hole 2016,1,4,32
485780,SoundStage,1,2,32
494710,PAYDAY: The Web Series: First World Bank,1,4,32
495700,Gabriel Knight: Sins of the Fathers,1,3,32
632730,Base Defense,1,4,32
662190,The Secret Order 6: Bloodline,1,4,32
673430,Mahjong Magic Islands,1,5,32
708680,Octopus Bar,1,5,32
734920,MEANDERS,1,3,32
858760,Scalak,1,5,32
887410,Hurricane Ship Ghost,1,1,32
3970,Prey,1,6,31
65500,Aura: Fate of the Ages,1,2,31
99200,YOU DON'T KNOW JACK,1,2,31
273750,Formula Truck 2013,1,2,31
298820,Millennium 2 - Take Me Higher,1,2,31
311140,The Stalin Subway,1,4,31
