NAME,VIEWERS,24H_PEAK,STEAM_PLAYERS
Ultimate Chicken Horse,3,34,295
War Robots,0,73,294
Risk of Rain,3,319,290
TrackMania?? Stadium,209,455,288
Dreadnought,11,26,288
The Binding of Isaac,10,34,288
Skater XL,32,46,287
Wizard of Legend,28,28,287
Full Metal Furies,0,10,287
Valkyria Chronicles 4,0,52,287
Assassin's Creed Syndicate,11,15,286
HuniePop,0,4,286
Tower Unite,10,127,285
NBA 2K17,1,10,284
Darwin Project,181,"2,306",283
Super Daryl Deluxe,0,13,283
Rise to Ruins,3,520,282
Thronebreaker: The Witcher Tales,0,29,281
FINAL FANTASY IX,231,340,279
Green Hell,3,48,279
Battlefield: Bad Company 2,8,21,277
Planetbase,0,11,276
Assassin's Creed Unity,29,122,274
TrackMania Nations Forever,2,8,269
Warhammer: End Times - Vermintide,0,7,269
NosTale,0,62,268
Call of War,0,1,268
Viscera Cleanup Detail,3,106,265
MU Legend,5,117,264
Danganronpa 2: Goodbye Despair,27,69,262
Hotline Miami 2: Wrong Number,7,13,262
S.T.A.L.K.E.R.: Call of Pripyat,4,45,262
Winning Post 8 2018,0,5,262
Thief Simulator,244,249,260
SpellForce 3,0,89,260
Time Clickers,0,1,259
Secret World Legends,0,6,258
Ticket to Ride,0,1,257
"Papers, Please",6,"1,247",255
Braveland,0,7,255
Blade & Sorcery,3,123,254
Getting Over It with Bennett Foddy,136,453,252
Sid Meier's Civilization IV: Colonization,0,1,251
FINAL FANTASY XIII,64,105,249
Pummel Party,35,460,249
Holdfast: Nations At War,0,15,248
Project Hospital,0,4,248
Assassin's Creed II,13,301,247
BRAIN / OUT,0,2,247
Yu-Gi-Oh! Legacy of the Duelist,3,29,246
Fantasy Grounds,0,31,245
SpeedRunners,7,131,244
Mordheim: City of the Damned,2,19,244
Black Mesa,0,60,243
Tactical Monsters Rumble Arena,0,4,243
The Talos Principle,3,27,242
Return of the Obra Dinn,28,140,241
Bus Simulator 18,27,414,241
Life is Strange: Before the Storm,25,47,241
Homeworld Remastered Collection,0,5,241
Call of Duty: Infinite Warfare,121,182,239
PixARK,0,4,238
Project CARS,1,6,237
Dungeon Hunter Champions,10,48,236
Modern Combat Versus,0,23,236
Pantropy,14,69,235
Fistful of Frags,0,17,234
BattleBlock Theater,4,37,233
Airport CEO,0,1,232
Mist Survival,59,65,230
Blackwake,5,27,230
Depth,10,71,229
